Numero_Dossier,Date_Lecture,Date_Audience,Avocat_Requerant,Type_Decision,Type_Recours,Formation_Jugement
458186,08/11/2021,,,Décision,Excès de pouvoir,
458216,17/11/2021,,,Décision,Excès de pouvoir,
458259,17/11/2021,,,Décision,Excès de pouvoir,
458265,23/11/2021,17/11/2021,"SCP PIWNICA, MOLINIE",Décision,Plein contentieux,Juge des référés
458273,12/11/2021,,,Décision,Excès de pouvoir,
458302,22/11/2021,,FEDARC,Décision,Excès de pouvoir,
458306,18/11/2021,,,Décision,Plein contentieux,
458345,16/11/2021,,,Décision,Excès de pouvoir,
458346,16/11/2021,,,Décision,Excès de pouvoir,
458393,18/11/2021,,,Décision,Excès de pouvoir,
458472,24/11/2021,23/11/2021,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Décision,Excès de pouvoir,Juge des référés
458564,23/11/2021,,,Décision,Excès de pouvoir,
434633,03/11/2021,,"THOUVENIN, COUDRAY, GREVY",Ordonnance,Excès de pouvoir, 4ème chambre
439713,03/11/2021,,SARL DELVOLVE ET TRICHET,Ordonnance,Plein contentieux, 4ème chambre
441202,15/11/2021,,SCP BUK LAMENT - ROBILLOT,Ordonnance,Plein contentieux, 6ème chambre
442881,09/11/2021,,SCP DUHAMEL - RAMEIX - GURY- MAITRE,Ordonnance,Plein contentieux, 9ème chambre
442886,09/11/2021,,SCP DUHAMEL - RAMEIX - GURY- MAITRE,Ordonnance,Plein contentieux, 9ème chambre
443850,15/11/2021,,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Ordonnance,Plein contentieux, 4ème chambre
443852,15/11/2021,,"SCP GATINEAU, FATTACCINI, REBEYROL",Ordonnance,Plein contentieux, 4ème chambre
444724,18/11/2021,,MARET,Ordonnance,Plein contentieux, 5ème chambre
444730,03/11/2021,,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Ordonnance,Plein contentieux, 4ème chambre
445033,03/11/2021,,"SCP LYON-CAEN, THIRIEZ",Ordonnance,Plein contentieux, 4ème chambre
445373,22/11/2021,,"SCP LYON-CAEN, THIRIEZ",Ordonnance,Plein contentieux, 9ème chambre
447432,03/11/2021,,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Ordonnance,Plein contentieux, 4ème chambre
447496,17/11/2021,,DESCORPS-DECLÈRE,Ordonnance,Excès de pouvoir, 4ème chambre
447904,16/11/2021,,SCP SPINOSI,Ordonnance,Excès de pouvoir, 6ème chambre
447914,15/11/2021,,,Ordonnance,Plein contentieux, 4ème chambre
448065,15/11/2021,,LE PRADO,Ordonnance,Plein contentieux, 4ème chambre
448461,04/11/2021,,,Ordonnance,Rectif. d'erreur matérielle, 7ème chambre
448645,15/11/2021,,"THOUVENIN, COUDRAY, GREVY",Ordonnance,Plein contentieux, 4ème chambre
449248,03/11/2021,,"SCP BOUZIDI, BOUHANNA",Ordonnance,Autres, 4ème chambre
449367,15/11/2021,,"THOUVENIN, COUDRAY, GREVY",Ordonnance,Plein contentieux, 4ème chambre
449674,03/11/2021,,,Ordonnance,Excès de pouvoir, 4ème chambre
449725,15/11/2021,,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Ordonnance,Plein contentieux, 4ème chambre
449809,08/11/2021,,,Ordonnance,Plein contentieux, 9ème chambre
449949,03/11/2021,,SCP RICHARD,Ordonnance,Plein contentieux, 4ème chambre
450055,15/11/2021,,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Ordonnance,Excès de pouvoir, 6ème chambre
450462,17/11/2021,,"THOUVENIN, COUDRAY, GREVY",Ordonnance,Excès de pouvoir, 7ème chambre
450813,03/11/2021,,"THOUVENIN, COUDRAY, GREVY",Ordonnance,Excès de pouvoir, 1ère chambre
450813,09/11/2021,,"THOUVENIN, COUDRAY, GREVY",Ordonnance,Excès de pouvoir, 1ère chambre
450990,03/11/2021,,"SCP WAQUET, FARGE, HAZAN",Ordonnance,Plein contentieux, 1ère chambre
451058,16/11/2021,,,Ordonnance,Plein contentieux, 6ème chambre
451208,15/11/2021,,,Ordonnance,Plein contentieux, 4ème chambre
451360,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
451578,18/11/2021,,,Ordonnance,Excès de pouvoir, 5ème chambre
451894,22/11/2021,,"SCP ZRIBI, TEXIER",Ordonnance,Excès de pouvoir, 2ème chambre
452047,03/11/2021,,,Ordonnance,Excès de pouvoir, 1ère chambre
452102,16/11/2021,,GAUCHE,Ordonnance,Plein contentieux, 9ème chambre
452208,03/11/2021,,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Ordonnance,Plein contentieux, 4ème chambre
452279,03/11/2021,,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Ordonnance,Plein contentieux, 4ème chambre
452415,04/11/2021,,,Ordonnance,Excès de pouvoir, 7ème chambre
452493,02/11/2021,,LE PRADO,Ordonnance,Excès de pouvoir, 1ère chambre
452498,16/11/2021,,"SCP LYON-CAEN, THIRIEZ",Ordonnance,Excès de pouvoir, 6ème chambre
452539,17/11/2021,,BOUTHORS,Ordonnance,Plein contentieux, 4ème chambre
452546,16/11/2021,,GARET,Ordonnance,Plein contentieux, 1ère chambre
452932,02/11/2021,,,Ordonnance,Excès de pouvoir, 1ère chambre
452972,18/11/2021,,,Ordonnance,Excès de pouvoir, 5ème chambre
